"","date","sentido_ABEV3","lag_fechamento_ABEV3","lag_abertura_ABEV3","lag_volume_ABEV3","lag_retorno_ABEV3","lag_value_ABEV3","lag_diff"
"422",2013-09-17,"1",19.82364155,19.76755675,10.1507381791936,0.01173903325,85,0.0560848000000007
"423",2013-09-18,"1",19.85869456,19.71147194,10.1235062265028,0.001766680874,76,0.147222620000001
"424",2013-09-19,"1",19.97086416,19.85869456,10.1884785071764,0.005632495521,69,0.112169600000001
"425",2013-09-20,"-1",20.35878406,19.92178996,10.0426841177244,0.01923804839,68,0.4369941
"426",2013-09-23,"-1",20.26297252,20.28166746,10.4944081903,-0.004717261228,53,-0.0186949399999996
"427",2013-09-24,"-1",20.24661445,20.26063565,10.0626257738744,-0.0008076146962,82,-0.014021200000002
"428",2013-09-25,"-1",20.14846605,20.25829879,9.97287368002114,-0.004859433373,82,-0.109832740000002
"429",2013-09-26,"1",20.12042364,20.16482411,10.8062471501259,-0.001392757871,87,-0.0444004700000029
"430",2013-09-27,"-1",20.50834354,20.29802552,10.5927522058318,0.01909640452,68,0.210318019999999
"431",2013-09-30,"-1",20.45926934,20.44524814,9.90718072437375,-0.002395757235,53,0.0140211999999984
"432",2013-10-01,"1",19.71957001,20.35530957,10.8839354828536,-0.03682450419,67,-0.635739559999998
"433",2013-10-02,"-1",19.86860785,19.93614063,9.81153672378822,0.007529447334,65,-0.0675327800000005
"434",2013-10-03,"-1",19.75217203,19.87093657,9.86370668252428,-0.005877529545,68,-0.118764540000001
"435",2013-10-04,"1",19.70559771,19.81038994,9.78622313237548,-0.00236071876,52,-0.104792230000001
"436",2013-10-07,"-1",19.90819603,19.72655615,9.17915925449261,0.01022876475,60,0.181639879999999
"437",2013-10-08,"-1",19.7475146,19.90819603,9.76577600666064,-0.008103867252,65,-0.16068143
"438",2013-10-09,"-1",19.46806864,19.76847305,9.69134575932969,-0.01425202269,76,-0.300404410000002
"439",2013-10-10,"1",19.43546661,19.47738351,10.1669665800397,-0.001676044936,76,-0.0419169000000004
"440",2013-10-11,"1",19.64272237,19.53560141,9.59464993801156,0.0106073338,56,0.10712096
"441",2013-10-14,"1",19.72422744,19.56121729,9.1718074222594,0.004140792714,65,0.163010150000002
"442",2013-10-15,"1",19.8616217,19.6194352,10.0221146762943,0.006941612657,64,0.242186499999999
"443",2013-10-16,"-1",19.89655245,19.88723758,10.5540925098304,0.001757160872,77,0.00931487000000075
"444",2013-10-17,"1",19.72422744,19.93148319,9.56479284806182,-0.008698773529,46,-0.207255750000002
"445",2013-10-18,"1",20.02463185,19.72189872,9.56612491962977,0.01511540874,59,0.30273313
"446",2013-10-21,"-1",20.12010922,19.93148319,10.8626653452127,0.004756665381,56,0.188626029999998
"447",2013-10-22,"1",20.0898359,20.07120617,10.0807965675065,-0.001505762698,60,0.0186297300000007
"448",2013-10-23,"-1",20.21325787,20.11079435,9.83697374847779,0.006124708565,75,0.102463520000001
"449",2013-10-24,"1",19.67765311,20.16668354,10.1013953437821,-0.02685508729,71,-0.48903043
"450",2013-10-25,"1",19.79408893,19.74285717,9.93924072224195,0.005899722116,68,0.0512317600000003
"451",2013-10-28,"1",19.91285346,19.69861156,10.5256488053628,0.005982071649,70,0.214241900000001
"452",2013-10-29,"-1",19.94079806,19.93614063,10.9248767657401,0.001402360914,84,0.00465742999999819
"453",2013-10-30,"-1",19.77080176,19.93148319,10.2244835040178,-0.008561595764,69,-0.16068143
"454",2013-10-31,"-1",19.59149061,19.67532439,10.2465097200211,-0.009110871728,81,-0.0838337799999991
"455",2013-11-01,"1",19.32299676,19.44803472,11.4371453262942,-0.01379939091,74,-0.12503796
"456",2013-11-04,"-1",19.54297095,19.33225883,10.3653329940804,0.01131975149,50,0.21071212
"457",2013-11-05,"-1",19.33457435,19.49897611,10.2035180681688,-0.01072076971,65,-0.164401760000001
"458",2013-11-06,"1",19.07986738,19.38320022,9.93071353878972,-0.01326119497,78,-0.303332839999999
"459",2013-11-07,"1",19.40403988,19.11228463,10.8025710860726,0.01684757057,76,0.291755249999998
"460",2013-11-08,"1",19.67263996,19.40867092,10.3777944096017,0.01374755002,61,0.263969040000003
"461",2013-11-11,"0",20.14500561,19.64022271,13.6696983495864,0.02372756118,57,0.504782899999999
"462",2013-11-12,"-1",20.14500561,20.02922971,12.1051356649321,0,76,0.115775899999999
"463",2013-11-13,"-1",19.75136756,20.02922971,12.515683759327,-0.01973366418,66,-0.277862150000001
"464",2013-11-14,"1",19.7166348,19.78610033,11.9143156150364,-0.001760047375,67,-0.0694655299999987
"465",2013-11-18,"1",20.22604873,19.97134176,12.7338261803168,0.02550862948,65,0.254706969999997
"466",2013-11-19,"-1",20.43444534,20.06396248,12.4828176254396,0.0102506592,67,0.370482859999999
