"","date","ativo","retorno","fechamento","abertura","volume","value","lag_fechamento","lag_volume","lag_value","lag_abertura","lag_retorno","lag_diff"
"6853",2015-10-05,"ITSA4",0.02265253422,5.575704181,5.531627468,12.3231176311168,87,5.450820162,12.2165624348099,71,5.296551666,0.02732410427,0.154268496
"6854",2015-10-06,"ITSA4",0.01438873746,5.656511488,5.546319706,12.1040897526104,88,5.575704181,12.3231176311168,87,5.531627468,0.02265253422,0.0440767129999999
"6855",2015-10-07,"ITSA4",0.03195159981,5.840164459,5.752011033,12.781463352581,79,5.656511488,12.1040897526104,88,5.546319706,0.01438873746,0.110191781999999
"6856",2015-10-08,"ITSA4",0.002512564148,5.854856696,5.818126102,12.3401969873256,73,5.840164459,12.781463352581,79,5.752011033,0.03195159981,0.0881534260000008
"6857",2015-10-09,"ITSA4",0.007500035157,5.898933409,5.928317885,12.3785711133754,75,5.854856696,12.3401969873256,73,5.818126102,0.002512564148,0.0367305939999998
"6858",2015-10-13,"ITSA4",-0.03937016392,5.671203726,5.788741627,12.4846395507825,79,5.898933409,12.3785711133754,75,5.928317885,0.007500035157,-0.0293844760000006
"6859",2015-10-14,"ITSA4",-0.02359218202,5.538973587,5.64916537,12.8078115240503,74,5.671203726,12.4846395507825,79,5.788741627,-0.03937016392,-0.117537901
"6860",2015-10-15,"ITSA4",-0.003986716253,5.516935231,5.561011944,12.1874757909978,75,5.538973587,12.8078115240503,74,5.64916537,-0.02359218202,-0.110191783
"6861",2015-10-16,"ITSA4",-0.01746182716,5.421435686,5.516935231,12.4364261426065,69,5.516935231,12.1874757909978,75,5.561011944,-0.003986716253,-0.0440767129999999
"6862",2015-10-19,"ITSA4",0.01879249935,5.52428135,5.421435686,11.9738694291023,67,5.421435686,12.4364261426065,69,5.516935231,-0.01746182716,-0.095499545
"6863",2015-10-20,"ITSA4",-0.01338708077,5.450820162,5.531627468,12.2017181785851,76,5.52428135,11.9738694291023,67,5.421435686,0.01879249935,0.102845664
"6864",2015-10-21,"ITSA4",-0.001348617868,5.443474043,5.45816628,11.8910810393348,65,5.450820162,12.2017181785851,76,5.531627468,-0.01338708077,-0.0808073059999996
"6865",2015-10-22,"ITSA4",0.01473569864,5.52428135,5.472858518,11.8752534006007,60,5.443474043,11.8910810393348,65,5.45816628,-0.001348617868,-0.0146922370000002
"6866",2015-10-23,"ITSA4",-0.006671138802,5.487550756,5.634473132,12.1105634459227,60,5.52428135,11.8752534006007,60,5.472858518,0.01473569864,0.0514228320000001
"6867",2015-10-26,"ITSA4",-0.01483506641,5.406743449,5.509589112,11.723429472738,69,5.487550756,12.1105634459227,60,5.634473132,-0.006671138802,-0.146922376
"6868",2015-10-27,"ITSA4",-0.008185584587,5.362666736,5.39939733,11.7710190847409,61,5.406743449,11.723429472738,69,5.509589112,-0.01483506641,-0.102845662999999
"6869",2015-10-28,"ITSA4",-0.006872879291,5.325936142,5.377358973,12.8802255719723,58,5.362666736,11.7710190847409,61,5.39939733,-0.008185584587,-0.0367305939999998
"6870",2015-10-29,"ITSA4",-0.01528869252,5.245128835,5.289205548,12.0058457404674,60,5.325936142,12.8802255719723,58,5.377358973,-0.006872879291,-0.051422831
"6871",2015-10-30,"ITSA4",0.0002016872695,5.246186817,5.224327705,11.9136259067288,73,5.245128835,12.0058457404674,60,5.289205548,-0.01528869252,-0.0440767129999999
"6872",2015-11-03,"ITSA4",0.04215443974,5.472064305,5.326336893,12.4391031593532,78,5.246186817,11.9136259067288,73,5.224327705,0.0002016872695,0.0218591119999996
"6873",2015-11-04,"ITSA4",0.006635724416,5.508496158,5.566787123,12.1761802876651,67,5.472064305,12.4391031593532,78,5.326336893,0.04215443974,0.145727412
"6874",2015-11-05,"ITSA4",0.01574835698,5.595932605,5.501209787,11.644225620235,76,5.508496158,12.1761802876651,67,5.566787123,0.006635724416,-0.0582909650000003
"6875",2015-11-06,"ITSA4",-0.02371652661,5.464777934,5.566787123,11.5154722192368,78,5.595932605,11.644225620235,76,5.501209787,0.01574835698,0.0947228180000002
"6876",2015-11-09,"ITSA4",-0.02020270732,5.355482376,5.457491564,11.6017967778729,74,5.464777934,11.5154722192368,78,5.566787123,-0.02371652661,-0.102009189
"6877",2015-11-10,"ITSA4",0,5.355482376,5.319050523,11.7553460152662,70,5.355482376,11.6017967778729,74,5.457491564,-0.02020270732,-0.102009187999999
"6878",2015-11-11,"ITSA4",0.02153515254,5.472064305,5.421059711,12.1802829313439,64,5.355482376,11.7553460152662,70,5.319050523,0,0.0364318530000007
"6879",2015-11-12,"ITSA4",0.005312097482,5.501209787,5.486637046,11.6962215467604,58,5.472064305,12.1802829313439,64,5.421059711,0.02153515254,0.0510045940000001
"6880",2015-11-13,"ITSA4",-0.02006756303,5.391914229,5.435632452,11.89778642465,61,5.501209787,11.6962215467604,58,5.486637046,0.005312097482,0.0145727409999994
"6881",2015-11-16,"ITSA4",0.006734032164,5.428346081,5.421059711,12.0319394722318,64,5.391914229,11.89778642465,61,5.435632452,-0.02006756303,-0.0437182229999999
"6882",2015-11-17,"ITSA4",0.01465715781,5.508496158,5.493923417,12.3242644865032,61,5.428346081,12.0319394722318,64,5.421059711,0.006734032164,0.0072863700000001
"6883",2015-11-18,"ITSA4",0.009216655113,5.559500752,5.523068899,12.1229790385928,57,5.508496158,12.3242644865032,61,5.493923417,0.01465715781,0.0145727409999994
"6884",2015-11-19,"ITSA4",0.01560499806,5.646937199,5.639650828,12.7625291625061,59,5.559500752,12.1229790385928,57,5.523068899,0.009216655113,0.0364318529999998
"6885",2015-11-23,"ITSA4",-0.002583980756,5.632364458,5.705228164,12.1412034030437,62,5.646937199,12.7625291625061,59,5.639650828,0.01560499806,0.00728637100000018
"6886",2015-11-24,"ITSA4",0.003873471589,5.654223569,5.595932605,12.4661728103959,50,5.632364458,12.1412034030437,62,5.705228164,-0.002583980756,-0.0728637060000006
"6887",2015-11-25,"ITSA4",-0.04885459923,5.384627858,5.574073493,12.6260880494678,49,5.654223569,12.4661728103959,50,5.595932605,0.003873471589,0.0582909640000002
"6888",2015-11-26,"ITSA4",0.01876730685,5.486637046,5.399200599,11.8839785463049,52,5.384627858,12.6260880494678,49,5.574073493,-0.04885459923,-0.189445635
"6889",2015-11-27,"ITSA4",-0.02419472858,5.355482376,5.457491564,12.3382099418539,61,5.486637046,11.8839785463049,52,5.399200599,0.01876730685,0.087436447
