"","date","lag_retorno_ABEV3","lag_retorno_B3SA3","lag_retorno_BBDC4","lag_retorno_BBAS3","lag_retorno_ITSA4","lag_retorno_ITUB4","lag_retorno_PETR3","lag_retorno_PETR4","lag_retorno_VALE3","retorno_IBOV","lag_fechamento_ABEV3","lag_fechamento_B3SA3","lag_fechamento_BBDC4","lag_fechamento_BBAS3","lag_fechamento_ITSA4","lag_fechamento_ITUB4","lag_fechamento_PETR3","lag_fechamento_PETR4","lag_fechamento_VALE3","lag_fechamento_IBOV","lag_abertura_ABEV3","lag_abertura_B3SA3","lag_abertura_BBDC4","lag_abertura_BBAS3","lag_abertura_ITSA4","lag_abertura_ITUB4","lag_abertura_PETR3","lag_abertura_PETR4","lag_abertura_VALE3","lag_abertura_IBOV","lag_volume_ABEV3","lag_volume_B3SA3","lag_volume_BBDC4","lag_volume_BBAS3","lag_volume_ITSA4","lag_volume_ITUB4","lag_volume_PETR3","lag_volume_PETR4","lag_volume_VALE3","lag_volume_IBOV","lag_value_ABEV3","lag_value_B3SA3","lag_value_BBDC4","lag_value_BBAS3","lag_value_ITSA4","lag_value_ITUB4","lag_value_PETR3","lag_value_PETR4","lag_value_VALE3","lag_value_IBOV"
"66",2018-04-09,-0.0329979177,0.00149309472,-0.003080803438,-0.01318700428,-0.008115131236,0.004889985277,0.01023026825,0.006127758962,-0.01186198349,-0.004578491993,23.83329232,27.07929966,30.10233991,40.41443894,11.86152498,33.5262938,24.3797157,21.27811498,43.83525398,89501.4928,24.11006604,26.93789339,30.1952223,40.7522194,11.9933197,33.38891777,24.03852375,20.97814156,44.00961039,89912.2142,13.2948281822998,12.3497573187092,12.6998599378114,12.7090273749156,11.9920436798918,12.8675743482546,12.1897857308675,13.874642301286,13.1372815461115,16.0919276354962,66,36,83,34,55,43,20,13,75,60
"67",2018-04-10,0.001718951835,-0.0230155415,-0.03860379269,-0.03705982437,-0.02020270727,-0.02249502903,-0.02926198455,-0.03588043345,0.004901398544,-0.01800097558,23.87429583,26.46317236,28.9624196,38.94410045,11.62429448,32.78053819,23.6766535,20.52818142,44.05063543,87904.79281,23.63852563,27.25100727,30.10233991,40.41443894,11.90545655,33.61787782,24.6278553,21.4281017,44.17371055,89514.17616,12.9138177559457,12.0844133569028,12.9433969857436,12.7559814729955,12.0342695749902,13.2387213982092,12.0921533858685,13.7881373056676,13.1779872811523,16.0477686756648,76,40,54,28,52,31,13,11,78,46
"68",2018-04-11,0.02166149677,0.003048782859,0.00841926877,-0.01206225328,0.00452489453,0.004976620217,0.03854867012,0.041503691,0.04306394977,0.01433879028,24.39709063,26.54397594,29.20729137,38.47716863,11.67701237,32.94408109,24.607177,21.39810435,45.98906852,89174.3212,24.00755725,26.56417684,29.20729137,39.56998778,11.71215763,33.06183197,24.0075063,20.90814776,44.92241751,87909.85772,12.8593869255884,12.1526507715341,13.0310635453948,13.1806624737519,12.0325581920964,13.0569412660158,11.9413581213648,14.0801169224306,13.8627652581978,16.2407270033985,85,28,42,53,50,40,19,12,79,42
"69",2018-04-12,0.002098636695,0.01022155405,0.02314719719,0.008228382757,-0.0007527286083,0.01634699127,0.02284626881,0.0185190478,-0.004470280129,0.008662254219,24.44834502,26.81668802,29.89124355,38.79507966,11.66822606,33.4870435,25.17583025,21.79806892,45.78394332,89950.1271,24.20232394,26.48337326,29.18195981,38.14932289,11.66822606,32.91137251,24.5037855,21.34810878,45.70189325,89156.94225,12.5743238255443,11.991994132323,12.6554142783278,12.3518598775962,12.3444902063684,12.8131334756769,11.9531977145838,14.1698283259453,13.6315083897337,16.1128444877021,99,50,39,32,46,31,20,11,77,36
"70",2018-04-13,-0.02376013347,0.0127247226,-0.01824451974,-0.002564103968,0.0156895261,0.008752365513,0.001641362699,-0.005519793214,0.003801010725,0.002319305283,23.87429583,27.16010324,29.35083689,38.69573246,11.85273867,33.78142072,25.21718685,21.67807955,45.95829974,90158.99102,24.56110469,26.76618579,29.89124355,38.86462269,11.72973026,33.59825267,25.17583025,21.78806981,45.55830561,89950.1271,12.6451691577163,12.3149539559099,13.404021844316,12.3944218329373,11.9780358920048,12.6937657641051,11.7724240889477,13.630804961605,13.0410925826071,15.9831108598045,82,51,58,38,44,47,15,12,77,48
"71",2018-04-16,-0.001288936795,-0.01763317119,-0.02210677577,-0.0342114576,-0.02173184061,-0.02351205489,-0.02743314174,-0.0223889949,0.003786617733,-0.01306572313,23.8435432,26.68538221,28.70910398,37.39428421,11.59793554,32.99641481,24.53480295,21.19812207,46.13265615,88988.66086,23.86404495,26.96819474,29.04685814,38.74540606,11.81759341,33.72254528,25.1241345,21.6380831,45.99932478,90156.35305,12.6865895659491,12.5955032181589,12.8943203432018,12.9021829317533,11.6425931530923,13.1722177370216,12.4338414836944,13.7841014148975,13.5038677050676,16.0998700694714,73,53,19,39,45,35,14,9,73,39
"72",2018-04-17,-0.01211087468,-0.04015983679,-0.02200505084,-0.03624957344,-0.01834913865,-0.01477957797,-0.03603993649,-0.0277397031,-0.009830284702,-0.017618462,23.5565186,25.63493567,28.08425877,36.06303179,11.38706398,32.51232784,23.66631435,20.61817345,45.68138073,87434.54826,23.8435432,26.78638668,28.77665481,37.65258692,11.61550817,32.93099766,24.51412465,21.04813536,45.75317454,88982.10815,13.1623165145773,12.251065131449,12.7694983095194,12.9966731622388,11.8710962895215,13.4010884554809,12.4237734117257,13.8744405682668,13.1902761991808,16.0082896018765,90,55,64,34,45,37,17,9,78,37
"73",2018-04-18,0.005641151891,0.01136153258,0.01254871559,0.02368424305,0.01834913865,0.01636436436,0.01818231909,0.01968851115,0.03073083651,0.01467012589,23.68978002,25.92784865,28.43890065,36.92735239,11.59793554,33.04874854,24.10055865,21.02813713,47.10700083,88726.67878,23.59752211,25.7056388,28.1349219,36.44055114,11.40463661,32.59082843,23.8214016,20.69816636,45.74291828,87435.26579,12.5544063982558,12.498704945364,12.7001558946466,12.5789766824275,12.1052849917175,12.9492734774376,11.6910214398882,13.5982012045718,13.3681228498918,15.9548326800245,87,38,49,46,44,41,16,10,74,31
"74",2018-04-19,0.01033155983,0.02234299415,0.03300051247,0.02261035276,0.01950549464,0.01882408525,0.03208379875,0.03595998007,0.0331900714,0.01990297921,23.9358011,26.5136746,29.39305616,37.77180355,11.82637972,33.67675326,24.88633405,21.79806892,48.69672108,90510.29478,23.81279056,26.15005849,28.69221627,37.0863079,11.68579868,33.42816806,24.47276805,21.34810878,48.20442061,88731.05781,13.162470236276,12.7656227170206,13.6938038347036,13.052380730537,12.1021832694379,13.6208912933824,12.3189056723045,14.2107697625634,14.1389156472165,16.592998073996,88,41,38,46,39,44,18,11,70,37
"75",2018-04-20,0.006403437025,-0.007264417308,-0.001725129824,0.0005259006168,-0.0157247718,-0.009367749991,0.0123866158,0.01818231907,0.007344487957,0.0005571072412,24.08956428,26.3217661,29.34239304,37.79167299,11.64186711,33.3627509,25.19650855,22.19803349,49.05569017,90560.73277,23.80253968,26.43287102,29.055302,37.88108546,11.85273867,33.55900238,25.13447365,22.06804501,49.00440887,90508.52206,12.8742763070254,11.8325421559524,12.9835288048888,12.8844792151436,11.8363993015201,13.0643719107899,12.1465402395288,14.1950498100165,13.6070523965251,16.1816472790271,84,45,57,30,40,24,18,11,77,38
"76",2018-04-23,-0.002983168634,-0.0139105798,-0.0142010791,-0.01110241383,-0.008336539393,-0.002159192139,0.002459017633,0.007181359411,-0.004190242877,-0.003199664766,24.01780813,25.95814999,28.92864418,37.37441477,11.54521765,33.29079203,25.25854345,22.35801932,48.85056498,90271.43186,24.03830989,26.05915446,29.02152658,37.42408837,11.64186711,33.19266629,25.0414213,22.05804589,48.98389635,90559.5404,12.2472097903853,11.9409215013183,12.5041381233616,12.23813801245,11.6868619652297,12.6376310108841,11.9621777670463,14.1817003914307,13.1426168834316,15.9718073481474,57,52,45,31,44,22,12,10,76,37
"77",2018-04-24,0.0008532423796,0.001555210272,-0.0002919281839,-0.0182408491,0.003797953673,0.001766958354,-0.003280035742,0.005352376729,-0.002733103769,0.0006124359833,24.03830989,25.99855178,28.92020033,36.69885384,11.58914922,33.34966747,25.17583025,22.47800869,48.7172336,90326.73427,23.89479759,25.80664328,28.86953721,37.10617734,11.51007239,33.12724913,25.07243875,22.08804323,48.43005833,90240.12443,12.2051021747757,12.0451113258575,12.2174229860114,12.8063284685751,11.3014016423681,12.7992530712493,12.0157289976333,13.6706003861685,13.2871894434147,15.9758837198102,90,23,33,44,42,31,10,10,84,41
"78",2018-04-25,-0.005988041852,-0.01342993395,0.001750292139,-0.009793331806,-0.002277040797,-0.004915947382,-0.003290829791,-0.003565066143,0.01690886752,-0.001559815226,23.89479759,25.65172708,28.97086345,36.34120394,11.56279028,33.18612457,25.09311705,22.39801577,49.54799064,90185.95108,24.11006604,26.22965136,29.21573522,36.86774407,11.64186711,33.62441954,25.3309175,22.59799806,48.92235879,90327.45179,12.5918145231901,11.9247436826061,12.4427955782848,12.8573165179943,11.8302658492754,12.9797670218727,12.0328317345923,13.9110598001,13.5511308638823,16.031539552132,93,17,53,36,44,31,12,10,77,25
