Ano,ativo,ret_medio,ret_mediano,ret_sd,ret_min,ret_max,volume_medio,volume_mediano,volume_sd,volume_min,volume_max,value_medio,value_mediano,value_sd,value_min,value_max
2015,BBAS3,-0.0019497156572195124,-0.0039057597965,0.030517660076704527,-0.08686404733,0.09594868149,12.010488646210106,12.008907465211905,0.3491917276281042,10.939355265539387,13.046326469125862,52.020325203252035,51,20.364925667549873,8,100
2016,BBAS3,0.0025267853944397588,0.002466092507,0.03561918548529918,-0.2378914079,0.1342911924,12.253075183717026,12.254334098527911,0.5017699948309162,10.641416875867966,13.526374095065922,39.74698795180723,37,12.176302381318635,14,100
2017,BBAS3,5.147951894191048e-4,0.0013232591895,0.024762868206578276,-0.2219611687,0.06121073104,12.382631310997823,12.371865396653227,0.40339849437435615,10.995175926131413,13.815193507709154,49.21951219512195,46.5,23.545712928516213,12,100
2018,BBAS3,0.001569755616777959,0.001744287892,0.02600046911861421,-0.07628330474,0.1080863258,12.891280986585908,12.871404028932268,0.42755743097426413,11.99620927101312,14.343289459364852,45.01632653061225,39,16.39621291413745,18,100
2012,ITSA4,-0.00037076522497704937,-4.1511003345e-4,0.019046162703680935,-0.06049811159,0.05824581369,11.92515367131328,11.911337386286082,0.3565997680089626,10.741946464256127,12.943550059537458,71.29098360655738,70,8.916701895380834,55,100
2013,ITSA4,-1.067975655806427e-5,0,0.015304942097025325,-0.04963798109,0.04564284283,11.985830690334822,11.986092640227719,0.2900378213571853,11.120342030692624,12.661983689118712,70.97983870967742,70,8.511221265087215,54,100
2014,ITSA4,5.254767396487899e-4,-0.001123000144,0.02082958440570376,-0.06842893519,0.07378617005,11.99046720939591,11.971213766514772,0.4033018201751611,9.9813740911932,13.605623746491704,75.08870967741936,75,8.660031600183759,60,100
2015,ITSA4,-0.001029185109085773,-0.0016097629015,0.019292204973604163,-0.05323551398,0.05731445659,12.158187134481656,12.157762206192709,0.3857965813371013,11.2702422517814,13.046218563064459,71.41056910569105,71,9.983155715611355,49,100
2016,ITSA4,0.0012012962867991967,0.001281230154,0.021576986817431944,-0.08596095671,0.0977578761,12.061341098088343,12.064676117948219,0.45698363756531185,10.317119223310685,13.608820895921745,67.45381526104417,67,7.977720709814203,52,100
2017,ITSA4,0.0011825793538349603,4.486316998e-4,0.01498217711680114,-0.1012862932,0.04291480915,11.951778454240143,11.961155994455552,0.40312595039049487,10.522557529699757,13.291775295576711,69.70325203252033,68,10.60021898086746,50,100
2018,ITSA4,0.0010367134398959184,0.001461988515,0.020357396381009356,-0.06287490405,0.06149641928,12.284872228980873,12.244754752122518,0.4200689018202767,11.300227171517557,13.47551431933542,60.55102040816327,61,17.13789448074612,30,100
2012,ITUB4,-2.71088412422951e-4,6.0938597185e-4,0.017984563171878045,-0.06201406415,0.05335075714,12.910223913700468,12.899894187157127,0.3535355608301493,11.701932954354756,14.199789482102979,16.09426229508197,0,22.66583440440238,0,100
2013,ITUB4,2.995071084314518e-5,0,0.015445799801627472,-0.04411689047,0.04535661136,12.975822360961594,12.970258215192423,0.30712940394817,11.973389991296997,13.792860981952673,23.58467741935484,25,19.376748637213918,0,100
2014,ITUB4,6.589659345427422e-4,-6.287336666e-4,0.02138501442795465,-0.07259921493,0.07770330645,13.114469981687204,13.077337768330736,0.4433681568677202,10.836123962946369,14.475746041608216,26.056451612903224,25,21.555052356577917,0,100
2015,ITUB4,-9.319423491560165e-4,-0.0018971205365,0.020507142084298706,-0.05981609949,0.06245735495,13.216243942043407,13.193165306227954,0.33077378783073613,12.093206253349235,14.02205469820302,43.613821138211385,41,21.099793306670197,0,100
2016,ITUB4,0.001382595902692771,0.002268217582,0.02273558669880532,-0.09119615697,0.1036835071,12.998997519203217,13.038575164073784,0.4394852571981551,11.344920928771067,14.407040209145228,42.06827309236948,40,15.566174991326665,11,100
2017,ITUB4,9.662605875552845e-4,0.001106795625,0.015909368083287884,-0.128363796,0.04374874191,12.936372575264437,12.88899485738153,0.4449332798317011,11.236697542563563,14.778237065561603,35.760162601626014,34,12.86901826068566,11,100
